,tweets,time
0,"burası🥹🤏🏻

#RhaenyraTargaryen #HOTD https://t.co/QVSHLN3he9",2022-09-22 09:32:18+00:00
1,"While deaths in #Houseofthedragon make you nervous, here are #GOT characters that got all the way to the end

#Gameofthrones #Hod #Hotd #housetargaryen #housestark 
https://t.co/aWkae8kY8z",2022-09-22 09:30:13+00:00
2,me whenever caraxes noodle boi appears on screen and burns everyone to a crisp #HouseOfTheDragon #hotd https://t.co/q85wxKB73S,2022-09-22 09:28:33+00:00
3,"Je pense qu’au prochain épisode là 😮‍💨
#HouseOfTheDragon  #HOTD",2022-09-22 09:26:15+00:00
4,"THE GORGEOUS LAENA VELARYON ❤
#HOUSEOFTHEDRAGON #HOTD https://t.co/78hKNipCbv",2022-09-22 09:22:58+00:00
5,"Único personagem de HOTD que parece tomar banho regularmente.
#hotd https://t.co/J5XN4Lzb3A",2022-09-22 09:20:37+00:00
6,480TVPOD | Rhaenyra smiled upon seeing her uncle's dragon. #hotd #gameofthrones  #hbo #podcast #HouseOfTheDragon https://t.co/gUeVrOcCc9,2022-09-22 09:20:00+00:00
7,"There is one thing that caught my attention while watching #HOTD. There are two of the best dressed in the series. Daemon and Alicent. They are always dressed very well. They reflect the majesty of black and green through Daemon and Alicent.
#HouseOfTheDragonHBO https://t.co/cKALHo0YHz",2022-09-22 09:17:58+00:00
8,Sa #HOTD nalang ata ako naeexcite,2022-09-22 09:15:54+00:00
9,Mit einem ramponierten Zahn musste Olivia Cooke am ersten Aufnahmetag ran. #HotD https://t.co/Y4idddgEGO,2022-09-22 09:15:03+00:00
10,"T'as des gens ils sont la a gueuler que #hotd est incestueuse bla bla bla mais par contre vos arbres généalogique ou il y eu au moins un cas d'inceste car c'était la normalité avant ça c'est normal. Blâmer une fiction c'est grave, même si l'inceste, la pédophilie n'est pas un jeu",2022-09-22 08:55:34+00:00
11,"te odeio Alicent, mas Emily Carey nesse vestido foi chef's kiss 💋 #hotd #HouseOfTheDragon https://t.co/fDrqpFFeTm",2022-09-22 08:51:49+00:00
12,"Per Ser Jorah: “The common people pray for rain, healthy children, and a summer that never ends. It is no matter to them if the high lords play their game of thrones, so long as they are left in peace. They never are.” #HouseOfTheDragon #hotd #ASOIAF https://t.co/ceecSxNggR",2022-09-22 08:46:20+00:00
13,"I like how Rhaenyra makes her kids embrace both the house of their father and of hers unlike some green witch cvnt that dresses a Kings son with the name AEGON Targaryen in green...
#HouseOfTheDragon #HotD https://t.co/M6J3WnUN44",2022-09-22 08:43:40+00:00
14,"King Viserys Targaryen #viserystargaryen #targaryen #hotd #houseofthedragon #hbomax #hbo #asoiaf
https://t.co/dgHP3SZboC",2022-09-22 08:40:38+00:00
15,"Normalde bu görüntüyü gördüğümde söverek diziyi bırakmam gerek🤣🤣🤣Ama yapamıyorum.Laenayı ayrı https://t.co/FLwaqgc7qXık #HOTD evreninden mi,Matt Smithin canlandırdığı Daemon karakterinden mi bilemiyorum 🤣🤣🤣
#HouseTargaryen https://t.co/CC27dzuG8w",2022-09-22 08:40:32+00:00
16,"omg someone mention harwin death, i'm gonna kill my self

#HOTD https://t.co/Cz0RP80IaL",2022-09-22 08:39:19+00:00
17,About to drop #hotd cuz Twitter ruined it for me mfs typing the whole story,2022-09-22 08:37:35+00:00
18,"House of the Dragon's Cast for Emmy Magazine 2022. - Heir to the Throne: Eve Best, Emma D'Arcy, Matt Smith, Rhys Ifans, Olivia Cooke, Steve Toussaint and Paddy Considine.  #HouseOfTheDragon  #HOTD https://t.co/5wP8P57BkV",2022-09-22 08:37:24+00:00
19,"Nobody had the theory that Alicent is in love (in secret) with Rhaenyra and that learning that she had had sex with a man and the allegations of her toxic father made her spin? 
#HouseOfTheDragon #HOTD",2022-09-22 08:28:21+00:00
20,This guys #HOTD music is incredible https://t.co/6QqYyAbPbh,2022-09-22 08:27:21+00:00
21,"Par contre j’ai besoin de précisions sur l’épisode de #HOTD
Pour Criston Cole il defonce Joffrey? C’est homophone ou juste parce qu’il connaît son secret???
Pourquoi ils ce presse à marier Rhaenyra et Laenor juste après ça?",2022-09-22 08:26:14+00:00
22,I would love show about the Doom of Valyria. #HOTD #HouseoftheDragon,2022-09-22 08:23:53+00:00
23,Played this yet? Reviewed episode 5 of #HOTD with @lambielikesit . Listen and share 💙🐉 https://t.co/iiAaLmSaDr,2022-09-22 08:22:16+00:00
24,Prediction: Do you think #CristonCole will be mean to the Velaryon boys? #HouseOfTheDragon #hotd #HouseOfTheDragonHBO #JacaerysVelaryon #LucerysVelaryon,2022-09-22 08:14:25+00:00
25,"The beginning of Daemon’s daddy era 
#HouseOfTheDragon #HOTD https://t.co/JH9A4q5GEh",2022-09-22 08:14:23+00:00
26,"Same Energy 
#HouseOfTheDragon 
#HOTD https://t.co/Ym4jzWjcv3",2022-09-22 08:11:18+00:00
27,Can't wait for ep6! #hotd,2022-09-22 08:10:01+00:00
28,"📸 Garść fotek z szóstego odcinka #RódSmoka  

Czeka nas spory przeskok czasowy i pojawienie się w akcji Emmy D’Arcy i Olivii Cooke, które wcielą się w starsze wersje Rhaenyry oraz Alicent.

#HouseOfTheDragon #Hotd
#HouseOfTheDragonHBO https://t.co/T9QoSIxYXt",2022-09-22 08:06:04+00:00
29,"Деймира🐉💜
#daemyra #DaemonTargaryen #targaryen #Rhaenyra #RhaenysTargaryen #hotd #HouseOfTheDragonHBO https://t.co/tqqZ6FzEnQ",2022-09-22 08:05:27+00:00
30,Think I might just have to start #HOTD this weekend. 😭,2022-09-22 08:00:27+00:00
31,"5 Reasons Why ‘House of the Dragon’ Is More Popular Than ‘The Rings of Power’ 
#HouseOfTheDragon #TheRingsOfPower #HOTD  https://t.co/WP9kuTSUwD�/97118/",2022-09-22 08:00:15+00:00
32,"When you watch ""The House that Dragons Built"" you really see the detail that goes into the sets in #HOTD It's incredible! No other show could ever.",2022-09-22 07:57:58+00:00
33,"Clairement, ils ont fait un boulot de malade pour le choix du casting !! #HouseOfTheDragon #HOTD https://t.co/p0pqwxEC2p",2022-09-22 07:49:09+00:00
